csv
Fecha,N.Fact,N.Dev,Venta Neta,Impuestos,Crédito,Contado,Adel/Aplicados,Cobros,Total Ingresos
04/08/25,11,0,70845.66,11335.31,0.00,83823.85,0.00,0.00,0.00
05/08/25,9,0,12349.03,1975.85,0.00,14324.88,0.00,0.00,0.00
06/08/25,9,1,32423.05,5187.70,0.00,37610.74,0.00,0.00,0.00
07/08/25,10,0,142729.63,22836.73,0.00,165766.83,0.00,0.00,0.00
08/08/25,12,0,36572.38,5851.58,0.00,42423.96,0.00,0.00,0.00
09/08/25,7,0,12711.39,2033.83,0.00,14882.58,0.00,0.00,0.00
11/08/25,17,1,121801.88,19488.31,0.00,142787.28,0.00,0.00,0.00
12/08/25,11,1,25114.23,4018.28,0.00,29257.90,0.00,0.00,0.00
13/08/25,7,0,57113.92,9138.22,0.00,67360.93,0.00,0.00,0.00
14/08/25,10,0,49611.39,7937.83,0.00,58291.68,0.00,0.00,0.00
15/08/25,3,1,2446.84,391.50,0.00,2871.64,0.00,0.00,0.00
16/08/25,7,0,36420.14,5827.23,0.00,42658.84,0.00,0.00,0.00
18/08/25,18,0,41792.29,6686.76,0.00,48556.40,0.00,0.00,0.00
19/08/25,11,0,72125.83,11540.14,0.00,84563.29,0.00,0.00,0.00
20/08/25,10,0,37819.73,6051.15,0.00,43955.50,0.00,0.00,0.00
21/08/25,7,0,48523.57,7763.77,0.00,56287.34,0.00,0.00,0.00
22/08/25,6,0,21116.67,3378.67,0.00,24618.62,0.00,0.00,0.00
23/08/25,6,0,10442.61,1670.81,0.00,12155.63,0.00,0.00,0.00
25/08/25,11,2,36903.88,5904.62,0.00,42911.88,0.00,0.00,0.00
26/08/25,11,0,90397.62,14463.62,423.11,104895.10,0.00,0.00,0.00
27/08/25,12,0,51018.30,8162.92,0.00,60063.30,0.00,0.00,0.00
28/08/25,12,1,20504.82,3280.78,0.00,23827.77,0.00,0.00,0.00
29/08/25,7,0,17929.74,2868.76,0.00,20925.95,0.00,0.00,0.00
30/08/25,9,0,10551.13,1688.19,0.00,12239.32,0.00,0.00,0.00
01/09/25,5,0,44320.33,7091.25,0.00,51669.16,0.00,0.00,0.00
02/09/25,16,1,157368.42,25178.94,0.00,183926.60,0.00,0.00,0.00
03/09/25,11,0,168211.91,26913.91,0.00,197027.91,0.00,0.00,0.00
04/09/25,10,3,47706.96,7057.46,0.00,54924.45,0.00,0.00,0.00
05/09/25,14,1,68660.18,10985.62,0.00,79800.12,0.00,0.00,0.00
06/09/25,11,1,36520.17,5843.24,0.00,42432.17,0.00,0.00,0.00
08/09/25,5,0,12826.71,2052.27,0.00,14878.98,0.00,0.00,0.00
09/09/25,8,1,21354.20,3416.67,0.00,24770.87,0.00,0.00,0.00
10/09/25,10,0,116970.34,18715.25,0.00,135822.35,0.00,0.00,0.00
11/09/25,9,1,68516.41,10962.64,0.00,80815.99,0.00,0.00,0.00
12/09/25,11,0,85497.52,13679.60,0.00,99214.12,0.00,0.00,0.00
13/09/25,8,0,41428.17,6628.51,31558.52,16537.98,0.00,0.00,0.00
15/09/25,13,0,34670.67,5547.29,0.00,40462.46,0.00,0.00,0.00
16/09/25,10,1,48779.95,7804.78,0.00,57441.40,0.00,0.00,0.00
17/09/25,13,0,78969.82,12635.15,0.00,93066.99,0.00,0.00,0.00
18/09/25,12,2,191253.48,30600.55,0.00,224869.56,0.00,0.00,0.00
19/09/25,11,1,106820.25,17091.23,0.00,124606.20,0.00,0.00,0.00
20/09/25,6,0,78732.74,12597.24,0.00,91329.99,0.00,0.00,0.00
22/09/25,17,1,167281.16,26764.98,0.00,194283.01,0.00,0.00,0.00
23/09/25,5,0,48179.59,7708.73,0.00,56898.82,0.00,0.00,0.00
24/09/25,9,0,100604.70,16096.75,0.00,119097.54,0.00,0.00,0.00
25/09/25,6,0,24252.26,3880.36,0.00,28157.80,0.00,0.00,0.00
26/09/25,11,3,79031.39,12645.01,0.00,92838.70,0.00,0.00,0.00
27/09/25,8,0,50963.62,8154.19,0.00,59324.22,0.00,0.00,0.00
29/09/25,17,3,118420.93,18947.37,0.00,137726.60,0.00,0.00,0.00
30/09/25,8,1,47806.32,7649.01,0.00,55816.42,0.00,0.00,0.00
01/10/25,13,0,102056.79,16329.09,0.00,118385.88,0.00,0.00,0.00
02/10/25,11,0,105690.78,16910.53,0.00,123127.65,0.00,0.00,0.00
03/10/25,17,1,158734.66,25397.57,0.00,185864.45,0.00,0.00,0.00
04/10/25,7,0,51422.75,8227.64,0.00,61076.64,0.00,0.00,0.00
06/10/25,13,0,133841.24,21414.59,0.00,156768.31,0.00,0.00,0.00
07/10/25,6,0,57238.12,9158.09,0.00,66396.20,0.00,0.00,0.00
08/10/25,6,0,22373.32,3579.73,0.00,25953.07,0.00,0.00,0.00
09/10/25,8,0,32113.71,5138.21,0.00,37251.92,0.00,0.00,0.00
10/10/25,13,1,157047.84,25127.66,0.00,185634.90,0.00,0.00,0.00
11/10/25,10,0,50735.21,8117.64,0.00,58908.66,0.00,0.00,0.00
13/10/25,5,0,35028.27,5604.53,0.00,40632.80,0.00,0.00,0.00
14/10/25,14,2,186756.09,29880.97,0.00,219260.42,0.00,0.00,0.00
15/10/25,9,0,138698.60,22191.77,0.00,160890.36,0.00,0.00,0.00
16/10/25,5,0,113454.70,18152.75,0.00,131607.44,0.00,0.00,0.00
17/10/25,6,1,51863.58,8298.17,0.00,60161.76,0.00,0.00,0.00
18/10/25,3,0,10928.56,1748.56,0.00,12943.30,0.00,0.00,0.00
20/10/25,8,2,147773.13,23587.98,0.00,171490.69,0.00,0.00,0.00
21/10/25,7,0,132817.86,21250.86,0.00,154068.73,0.00,0.00,0.00
22/10/25,5,0,10122.64,1619.63,0.00,11742.28,0.00,0.00,0.00
23/10/25,13,0,82221.42,13155.44,0.00,95685.83,0.00,0.00,0.00
24/10/25,3,0,12226.18,1956.19,0.00,14182.37,0.00,0.00,0.00
25/10/25,8,1,76183.98,12189.44,0.00,88373.41,0.00,0.00,0.00
27/10/25,4,0,14595.38,2335.26,0.00,16930.64,0.00,0.00,0.00
28/10/25,7,0,65269.72,10443.14,0.00,77554.01,0.00,0.00,0.00
29/10/25,3,0,35411.31,5665.80,0.00,41109.08,0.00,0.00,0.00
30/10/25,4,1,7163.63,1146.18,0.00,8309.82,0.00,0.00,0.00
31/10/25,2,0,1382.14,221.14,0.00,1603.28,0.00,0.00,0.00
01/11/25,7,0,71749.10,11479.86,13625.23,70774.15,0.00,0.00,0.00
03/11/25,6,0,139503.66,22320.59,0.00,162998.25,0.00,0.00,0.00
04/11/25,6,0,64610.33,10337.65,0.00,76355.63,0.00,0.00,0.00
05/11/25,7,0,17738.87,2838.23,0.00,20604.24,0.00,0.00,0.00
06/11/25,11,0,185800.04,29728.00,0.00,215700.29,0.00,0.00,0.00
07/11/25,3,0,19381.93,3101.11,0.00,22483.04,0.00,0.00,0.00
08/11/25,3,0,3648.89,583.82,0.00,4232.71,0.00,0.00,0.00
10/11/25,7,1,148698.26,23791.73,0.00,175199.30,0.00,0.00,0.00
11/11/25,7,0,62945.01,10071.21,0.00,73047.06,0.00,0.00,0.00
12/11/25,6,2,173877.13,27820.34,0.00,200382.56,0.00,0.00,0.00
13/11/25,7,0,146652.49,23464.40,0.00,171204.16,0.00,0.00,0.00
14/11/25,5,0,88639.85,14182.36,0.00,104019.36,0.00,0.00,0.00
15/11/25,4,1,22256.47,3561.03,0.00,25817.50,0.00,0.00,0.00
17/11/25,5,0,157609.62,25217.54,0.00,185050.40,0.00,0.00,0.00
18/11/25,9,1,71696.41,11471.43,0.00,84407.44,0.00,0.00,0.00
19/11/25,5,1,19448.00,3111.67,0.00,23007.01,0.00,0.00,0.00
20/11/25,2,0,22746.54,3639.45,0.00,27005.79,0.00,0.00,0.00
21/11/25,6,0,30494.86,4879.17,0.00,35374.03,0.00,0.00,0.00
22/11/25,2,0,6883.55,1101.37,0.00,7984.92,0.00,0.00,0.00
24/11/25,7,0,163945.71,26231.32,0.00,192145.20,0.00,0.00,0.00
25/11/25,3,0,65409.36,10465.49,0.00,77712.18,0.00,0.00,0.00
26/11/25,4,0,20194.13,3231.05,0.00,23425.18,0.00,0.00,0.00
27/11/25,4,0,121803.68,19488.59,0.00,142609.35,0.00,0.00,0.00
28/11/25,7,1,68397.94,10943.67,0.00,80629.54,0.00,0.00,0.00
29/11/25,6,0,34582.81,5533.24,0.00,40337.14,0.00,0.00,0.00
01/12/25,5,1,66762.61,10682.02,0.00,77545.49,0.00,0.00,0.00
02/12/25,8,0,89375.06,14300.01,0.00,103682.34,0.00,0.00,0.00
03/12/25,8,1,67295.73,10767.32,0.00,78097.21,0.00,0.00,0.00
04/12/25,4,0,79611.16,12737.79,0.00,93255.74,0.00,0.00,0.00
05/12/25,15,1,286564.73,45850.35,99774.71,234794.12,0.00,0.00,0.00
06/12/25,8,0,60756.06,9720.98,0.00,71315.62,0.00,0.00,0.00
08/12/25,7,0,95761.20,15321.80,0.00,112419.72,0.00,0.00,0.00
09/12/25,9,2,76298.03,10623.00,0.00,88550.43,0.00,0.00,0.00
10/12/25,11,0,73098.56,11695.77,0.00,84794.33,0.00,0.00,0.00
11/12/25,12,0,142892.90,22862.89,0.00,166985.86,0.00,0.00,0.00
12/12/25,9,0,144547.77,23127.65,0.00,167790.97,0.00,0.00,0.00
13/12/25,3,0,163377.84,26140.45,0.00,190026.93,0.00,0.00,0.00
15/12/25,8,1,243316.55,38168.54,0.00,281485.10,0.00,0.00,0.00
16/12/25,8,1,158602.67,25376.42,3065.76,181758.13,0.00,0.00,0.00
17/12/25,2,0,44944.67,7191.15,0.00,53503.55,0.00,0.00,0.00
18/12/25,6,0,53514.50,8562.31,0.00,62076.81,0.00,0.00,0.00
19/12/25,9,0,228626.34,36580.21,0.00,266890.59,0.00,0.00,0.00
20/12/25,11,0,288006.55,46081.06,0.00,339934.33,0.00,0.00,0.00
22/12/25,13,1,155420.16,24867.21,5396.39,175055.71,0.00,0.00,0.00
23/12/25,7,0,171962.38,27513.98,2610.00,200722.76,0.00,0.00,0.00
26/12/25,11,1,216827.16,34692.35,0.00,257774.23,0.00,0.00,0.00
27/12/25,3,0,23225.45,3716.07,0.00,26941.52,0.00,0.00,0.00
29/12/25,5,0,24398.83,3903.81,0.00,28302.64,0.00,0.00,0.00
Totales..,2739,135,15315499.20,2446334.06,325998.95,17596496.87,0.00,0.00,0.00
